,Course Code,INSTITUTION and COURSE,EOS,Mid
485,TR041,Religion,347,393
486,TR051,Medicine (HPAT required),#730,739
487,TR052,Dental Science,590*,602
488,TR053,Physiotherapy,533*,544
489,TR054,Occupational Therapy,500,520
490,TR055,Radiation Therapy,510,521
491,TR056,Human Health and Disease,543,565
492,TR060,Biological and Biomedical Sciences,510*,542
493,TR061,Chemical Sciences,488*,520
494,TR062,Geography and Geoscience,435,485
495,TR063,Physical Sciences,498*,543
496,TR072,Pharmacy,555*,577
497,TR080,Global Business,565,577
498,TR081,"Business, Economic and Social Studies (BESS)",518*,542
499,TR082,Computer Science and Business,510,542
500,TR083,Sociology and Social Policy,451,474
501,TR084,Social Studies (Social Work),420*,462
502,TR085,Business Studies and French,509,553
503,TR086,Business Studies and German,474,495
504,TR087,Business Studies and Russian,467,487
505,TR089,Business Studies and Polish,393,434
506,TR090,Business Studies and Spanish,510,543
507,TR091,General Nursing (Meath and St James`s),393*,420
508,TR093,General Nursing (Adelaide School of Nursing),#378*,409
509,TR095,Mental Health Nursing,358,377
510,TR097,Intellectual Disability Nursing,346,350
511,TR911,Children`s and General Nursing (Integrated),476*,487
512,TR913,Midwifery,423,462
514,DN100,Architecture,473,509
515,DN120,Landscape Architecture,353,403
516,DN130,City Planning and Environmental Policy,367,421
517,DN150,Engineering (Common Entry),511,554
518,DN200,Science (options),521,554
519,DN201,Computer Science (Common Entry),488,509
520,DN230,Actuarial and Financial Studies,577,589
521,DN250,Agricultural Science (options),420,462
522,DN252,Dairy Business,398,428
523,DN253,Agri - Environmental Sciences,403,419
524,DN261,Food Science,434,467
525,DN262,Human Nutrition,493,510
526,DN271,Forestry,303,361
527,DN272,"Horticulture, Landscape and Sportsturf Management",252,312
528,DN300,Veterinary Medicine - Undergraduate Entry,#567,589
530,DN310,Veterinary Nursing,441,487
531,DN400,Medicine - Undergraduate Entry (HPAT required),#735,745
532,DN401,Medicine - Graduate Entry (GAMSAT required),#59*,61
533,DN410,Radiography,507,522
535,DN420,Physiotherapy,542,555
536,DN425,Health and Performance Science,488,509
537,DN430,Sport and Exercise Management,436,455
538,DN440,"Biomedical, Health and Life Sciences",565*,579
539,DN450,General Nursing,398,420
540,DN451,Children`s and General Nursing (Integrated),462*,499
541,DN452,Midwifery,409,452
542,DN453,Mental Health Nursing,379,403
543,DN520,Arts (Two Subjects),336,408
544,DN530,Humanities (options),348,411
545,DN541,Modern Languages (options),348,412
546,DN600,Law (options),520*,532
547,DN610,Business and Law,521,543
548,DN650,Commerce,498*,510
549,DN660,Commerce International (options),507,531
550,DN670,Economics and Finance,601,601
551,DN700,Social Sciences (options),388,441
552,DN710,Economics,476,488
553,DN720,Psychology,517,531
554,DN750,Social Policy and Sociology,330,366
556,DK810,Accounting and Finance,306,391
557,DK816,Business Studies,300,357
558,DK820,Computing in Games Development,307,369
559,DK821,Computing in Software Development,301,347
560,DK830,Building Surveying,302,349
561,DK831,Architectural Technology,301,366
562,DK832,Construction Management,300,329
563,DK843,Engineering (Common Entry),303,402
564,DK860,Music,#499,649
565,DK861,Arts,300,358
566,DK862,Social Care,300,338
567,DK863,Creative Media,300,376
568,DK864,Film and Television Production,300,332
569,DK865,Audio and Music Production,301,346
570,DK870,General Nursing,392,401
571,DK872,Intellectual Disability Nursing,300,317
572,DK874,Mental Health Nursing,356,378
573,DK876,Early Childhood Studies,305,359
574,DK877,Midwifery,398*,441
575,DK880,Health and Physical Activity,300,367
576,DK882,Agriculture (Award options),303,358
577,DK883,Science (Award options),300,369
579,GA181,Accounting,303,378
580,GA182,Business,290,347
581,GA183,Business Information Systems,309,373
582,GA184,Marketing and Sales,307,348
583,GA185,Finance and Economics,307,398
584,GA186,Business with Entrepreneurship,297,328
585,GA187,Rural Enterprise and Agri-Business (Mountbellew Campus),280,367
586,GA281,Film and Documentary,287,360
587,GA282,Heritage Studies,238,308
588,GA283,Contemporary Art,260,340
589,GA284,Design,309,377
590,GA380,International Hotel Management,225,289
591,GA381,International Tourism Management,261,290
592,GA382,Culinary and Gastronomic Science,225,316
593,GA384,Event Management with Public Relations,209,289
594,GA385,Retail Management,219,319
595,GA480,Construction Management,260,312
596,GA482,Quantity Surveying and Construction Economics,280,340
597,GA483,Architectural Technology,251,321
598,GA484,Civil Engineering,270,362
599,GA580,Software and Electronic Engineering,301,351
600,GA680,Mechanical Engineering,336,389
601,GA681,Energy Engineering,281,328
602,GA682,Biomedical Engineering,331,383
603,GA683,Agricultural Engineering,301,365
604,GA684,Engineering (Common entry to Agri/Biomed/Energy/Mech Eng),346,406
605,GA780,Applied Freshwater and Marine Biology,300,360
606,GA781,Applied Biology and Biopharmaceutical Science,317,376
607,GA782,Chemical and Pharmaceutical Science,307,346
608,GA783,Physics and Instrumentation,373,378
609,GA784,Science (Undenominated),327,377
610,GA785,Medical Science,451,486
611,GA786,Forensic Science and Analysis,300,366
612,GA787,Computing in Software Development,275,327
613,GA788,Computing and Digital Media,270,327
614,GA789,Agriculture and Environmental Management (Mountbellew Campus),297,339
615,GA790,Sport and Exercise Science,350,379
616,GA791,Public Health Nutrition,364,397
617,GA880,General Nursing - Mayo Campus,389*,400
618,GA882,Psychiatric Nursing - Mayo Campus,346,370
619,GA885,Outdoor Education - Mayo Campus,210,298
620,GA887,History and Geography - Mayo Campus,228,296
621,GA889,Applied Social Care - Mayo Campus,260,297
622,GA890,Early Childhood Care and Education - Mayo Campus,278,319
623,GA980,Education (Design Graphics and Construction) - Letterfrack Campus,376,389
624,GA981,Furniture Design and Manufacture - Letterfrack Campus,271,350
625,GA982,Furniture and Wood Technology - Letterfrack Campus,270,352
627,GY101,Arts (Joint-Honours),300,374
628,GY104,Arts (Psychology),507,529
629,GY105,Arts (History),318,358
630,GY107,Na Dána (Gaeilge agus Léann an Aistriúcháin),330,397
631,GY109,Arts (Mathematics and Education),411,487
632,GY110,Arts with Children's Studies,382,409
633,GY111,Arts with Creative Writing,402,472
634,GY112,Arts with Film Studies,338,370
635,GY113,Arts with Human Rights,338,409
636,GY115,Arts with Performing Arts Studies,328,367
637,GY118,"Arts (Drama, Theatre and Performance Studies)",410,451
638,GY119,Journalism,410,475
639,GY120,"Arts (Child, Youth and Family: Policy and Practice)",309,346
640,GY121,Arts (Children's Studies),356,389
641,GY122,Na Dána (Cumarsáid agus Gaeilge),308,399
642,GY123,BSc (Applied Social Sciences),357,388
643,GY124,Arts (Arts with Data Science),434,466
644,GY125,Arts (Digital Arts and Technology),324,379
645,GY126,Arts (English and Media Studies),418,451
646,GY127,Arts (Film and Digital Media),387,435
647,GY128,Arts (Global Languages),370,440
648,GY129,Arts (International),408,477
649,GY130,Arts (Music),400,444
650,GY131,Arts (History and Globalisation Studies),340,431
651,GY132,"Government (Politics, Economics and Law)",402,444
652,GY133,Education (Computer Science and Mathematical  Studies),401,466
653,GY201,Commerce,420,453
654,GY202,Commerce (International) with French,484,513
655,GY203,Commerce (International) with German,489,541
656,GY204,Commerce (International) with Spanish,484,500
657,GY206,Business Information Systems (Work Placement & Optional Int`l Study),431,445
658,GY207,Commerce (Accounting) including optional Global Experience year,486,510
659,GY208,Commerce (Gaeilge),473,488
660,GY209,Commerce (Global Experience),509,531
661,GY250,Law & Business,436,467
662,GY251,Law,473,498
663,GY252,Law & Human Rights,510,521
664,GY261,"Business Studies (International Hotel Management, Shannon)",#486,615
665,GY262,"Commerce (International Hotel Management, Shannon)",#671,726
666,GY301,Science,400,456
667,GY303,Biomedical Science,533,566
668,GY304,Biotechnology,473,507
669,GY308,Environmental Science,413,440
670,GY309,Financial Mathematics and Economics,454,498
671,GY310,Marine Science,409,456
672,GY313,Environmental Health and Safety,402,435
673,GY314,Earth and Ocean Sciences,402,425
674,GY318,Biopharmaceutical Chemistry,510,532
675,GY319,Mathematical Science,456,531
676,GY320,"Physics (Degree options: Applied,Astrophysics,Biomedical,Theoretical)",401,487
677,GY350,Computer Science and Information Technology,425,466
678,GY401,Engineering (Undenominated),444,499
679,GY402,Civil Engineering,509,543
680,GY405,Mechanical Engineering,443,499
681,GY406,Electronic and Computer Engineering,509,547
682,GY408,Biomedical Engineering,519,543
683,GY410,Project and Construction Management,434,464
684,GY413,Energy Systems Engineering,532,589
685,GY414,Electrical and Electronic Engineering,454,487
686,GY501,"Medicine (five year/six year course, HPAT required)",#726*,731
687,GY502,Occupational Therapy,532,543
688,GY503,Speech and Language Therapy,529,543
689,GY504,Podiatric Medicine,434,463
690,GY515,General Nursing (Galway and Portiuncula),442,466
691,GY516,Mental Health Nursing,388,413
692,GY517,Midwifery,429,468
694,LY108,Business - Accounting,318,399
695,LY118,Business,287,352
696,LY208,Law,300,359
697,LY218,Business - with Spanish/Irish options,298,367
698,LY228,Sports and Exercise (Common Entry),278,330
699,LY408,Design (Common Entry),#307,368
700,LY508,Fire Safety Engineering,270,299
701,LY518,Quantity Surveying,307,368
702,LY528,Construction Management,267,291
703,LY608,Mechanical Engineering,304,333
704,LY618,Electronics and Embedded Systems,307,339
705,LY708,Applied Computing,300,348
706,LY818,Science (Common Entry),302,371
707,LY828,Agriculture (Common Entry),300,342
708,LY908,General Nursing,383,390
709,LY918,Psychiatric Nursing,291*,332
710,LY928,Intellectual Disability Nursing,288,299
711,LY968,"Early Childhood Care, Health and Education",300,336
712,LY978,Health & Social Care (Common Entry),260,299
714,MI001,Contemporary & Applied Theatre Studies,345,381
715,MI002,Arts (offered in conjunction with the University of Limerick),300,378
716,MI005,Education - Primary Teaching,473*,506
717,MI006,Education - Primary Teaching (Gaeltacht Applicants),#442,473
718,MI007,Early Childhood Care and Education,366,402
719,MI008,Education and Psychology - Primary Teaching,543,555
720,MI009,"Education, Business Studies and Accounting (Thurles Campus)",392,420
721,MI010,"Education, Business Studies and Religious Studies (Thurles Campus)",326,355
722,MI011,"Education, Irish and Religious Studies (Thurles Campus)",377,387
723,MI012,"Education, Irish and Business Studies (Thurles Campus)",398,440
724,MI013,"Education, Mathematics and Gaeilge (Thurles Campus)",433,465
726,CI101,Counselling and Psychotherapy (Limerick),276,328
728,LC110,"Art and Design (Common Entry, portfolio)",#734,918
729,LC114,Fashion and Textiles for Product and Costume (portfolio),#900,988
730,LC220,Digital Marketing,254,288
731,LC223,Law and Taxation,308,372
732,LC224,Accounting and Finance,299,382
733,LC225,Marketing and Management,298,337
734,LC226,Enterprise and Innovation,216,298
735,LC233,Software Development,300,371
736,LC234,Interactive Digital Media,219,288
737,LC236,Internet Systems Development,298,319
738,LC239,Computer Networks and Systems Management,335,347
739,LC241,Construction Management,276,303
740,LC242,Property Valuation and Management,292,328
741,LC243,Quantity Surveying,281,360
742,LC248,Built Environment (Common Entry),307,350
743,LC252,Civil Engineering Management,281,331
744,LC263,Clinical Technology,282,359
745,LC265,Forensic and Pharmaceutical Sciences,335,368
746,LC266,Drug and Medicinal Product Analysis,236,299
747,LC275,Electrical Engineering,288,340
748,LC288,Mechanical Engineering,307,360
749,LC289,Precision Engineering,280,369
750,LC292,Social Care Work,360,389
751,LC293,Business Studies with Travel and Tourism Management,299,326
752,LC294,Business Studies with Event Management,271,300
753,LC295,Business Studies with Sports Management,263,298
754,LC297,Community Development,217,269
755,LC320,Business,337,378
756,LC330,Business with Computing,298,326
757,LC340,Interior Design,298,349
758,LC362,Biotechnology and Biopharmaceutical Sciences,379,402
759,LC371,Creative Broadcast and Film Production,298,339
760,LC372,Music Technology and Production,321,369
761,LC374,Renewable and Electrical Energy Engineering,317,368
762,LC375,Industrial Automation & Robotic Systems,321,368
763,LC376,Electronic Engineering,308,346
764,LC380,Automotive Engineering and Transport Management,282,329
765,LC392,Beauty and Spa Management,217,318
766,LC393,Early Childhood Education & Care,260,309
767,LC401,Early Childhood Education & Care (Thurles),298,387
768,LC402,Social Care Work (Thurles),209,290
769,LC408,Environmental and Geographical Sciences (Thurles),262,346
770,LC411,Marketing and Management (Thurles),226,300
771,LC418,Computing - Games Design and Development (Thurles),271,318
772,LC422,Sports Strength and Conditioning (Thurles),288,333
773,LC434,Environmental Management in Agriculture (Thurles),278,347
774,LC502,"Game Art and Design (Clonmel, portfolio)",#838,950
775,LC517,Creative Media and Design (Clonmel),229,273
776,LC518,"Digital Animation Production (Clonmel, portfolio)",#816,962
777,LC612,Social Care Work (Ennis),319,338
778,LC613,Early Childhood Education & Care (Ennis),346,388
780,LM002,Arts (offered in conjunction with Mary Immaculate College),329,388
781,LM020,Law and Accounting,436,476
782,LM026,Performing Arts (audition required),#307,367
783,LM028,Criminal Justice,387,409
784,LM029,Law Plus,473,499
785,LM038,Psychology and Sociology,478,489
786,LM039,Journalism and New Media,388,430
787,LM040,European Studies,350,462
788,LM044,Applied Languages,404,473
789,LM050,Business Studies,419,455
790,LM056,International Business,511,543
791,LM058,Financial Mathematics,434,543
792,LM063,Technology Management,372,409
793,LM068,Food Science and Health,400,430
794,LM076,Product Design and Technology (portfolio required),#402,466
795,LM077,Aeronautical Engineering,469,531
796,LM082,Construction Management and Engineering,368,404
797,LM089,Sport and Exercise Sciences,441,466
798,LM090,Physical Education with concurrent Teacher Education,498*,520
799,LM092,Science with Teacher Ed (Biology with Physics/Chemistry/Ag Science),478,509
800,LM093,Equine Science,338,381
801,LM094,Materials and Architectural Technology with concurrent Teacher Education,405,433
802,LM095,Materials and Engineering Technology with concurrent Teacher Education,358,409
803,LM096,Science with Teacher Ed (Physical Sciences with Chemistry and Physics),382,422
804,LM099,Architecture (portfolio required),#419,473
805,LM100,Physiotherapy,565*,577
806,LM101,Medicine  - Graduate Entry (GAMSAT required),#55*,57
807,LM102,Psychology,495,519
808,LM103,Paramedic Studies (B and C1 Drivers Licence),#313,403
809,LM115,Chemical and Biochemical Engineering,456,520
810,LM116,Engineering (Biomedical/Civil/Design and Manufacture/Mechanical),434,498
811,LM118,Electronic and Computer Engineering,401,498
812,LM121,Computer Science (Computer Systems/Games Dev/Mobile Comm Security),352,420
813,LM122,Creative Media and Interaction Design (Digital Design/Music Media Tech),330,430
814,LM123,Biological & Chemical Sciences (Biosci/Envir Sci/Ind Bio/IndPharma Chem),412,455
815,LM124,Mathematics (Math Science/Maths and Physics/Economics and Math Scien,e)427,521
816,LM125,Physics (Applied Physics/Mathematics and Physics),405,509
817,LM150,General Nursing,440*,463
818,LM152,Mental Health Nursing,388,418
819,LM154,Intellectual Disability Nursing,381*,408
820,LM156,Midwifery,429,444
822,MU001,Theology and Arts,290,318
823,MU002,Theology,292,377
825,MH001,Education - Primary Teaching (Froebel),496*,520
827,MH101,Arts,316,369
828,MH103,Music,#,367
829,MH106,Psychology - 3 years,495,499
830,MH107,Social Science,326,349
831,MH109,Media Studies,317,377
832,MH116,Community and Youth Work (Full-Time),#,271
833,MH201,Science,350,392
834,MH202,Biotechnology,429,446
835,MH204,Physics with Astrophysics,420,488
836,MH206,Theoretical Physics and Mathematics,498,566
837,MH207,Data Science,434,466
838,MH208,Biological and Biomedical Sciences,451,476
839,MH209,Psychology (through Science) - 4 years,473,485
840,MH210,Pharmaceutical and Biomedical Chemistry,446,466
841,MH212,Science/Computer Science/Mathematics (with Education) - options,444,476
842,MH304,Engineering (Computer/Electronic/Communications),371,423
843,MH305,Product Design,358,411
844,MH306,Robotics and Intelligent Devices,361,424
845,MH401,Finance (options),352,392
846,MH402,Quantitative Finance,476,487
847,MH403,Accounting and Finance,402,432
848,MH404,Business (options),400,429
849,MH405,Equine Business,357,398
850,MH407,Business and Accounting,401,420
851,MH411,Entrepreneurship,358,388
852,MH501,LLB Law - four year Single Major Law programme,451,476
853,MH502,Law (options),410,442
854,MH601,Computer Science through Arts (options),342,369
855,MH602,Computer Science through Science (options),357,413
856,MH603,Computational Thinking,520,543
857,MH801,Early Childhood - Teaching and Learning (part-time),347,358
861,AS001,"Education, Home Economics and Biology - with concurrent Teacher Ed",456*,497
862,AS002,"Education, Home Economics and Religious Ed - with concurrent Teacher Ed",400*,433
863,AS003,"Education, Home Economics and Irish - with concurrent Teacher Ed",421,457
864,AS051,"Nutrition, Food and Business Management",337,399
865,AS054,Home Economics,387,401
866,AS110,General Nursing,391*,409
867,AS130,Intellectual Disability Nursing,317,338
869,SG141,Business,252,317
870,SG142,Business in International Marketing and Sales with French,270,388
871,SG144,Business in International Marketing and Sales with Spanish,280,388
872,SG146,Accounting,307,347
873,SG147,Sport with Business,269,316
874,SG148,Tourism with Event Management,246,282
875,SG149,Business in Finance and Investment,262,357
876,SG241,Performing Arts,279,348
877,SG242,Early Childhood Care and Education,278,318
878,SG243,Social Care Practice,297,338
879,SG244,Fine Art,#355,496
880,SG245,Creative Design,261,338
881,SG246,Computing,295,368
882,SG247,English and Psychology,308,336
883,SG248,Sociology and Politics,282,320
884,SG249,Writing and Literature,279,338
885,SG250,Application Design and User Experience,290,431
886,SG251,Computing (Smart Technologies),303,391
887,SG252,Software Development,300,354
888,SG253,Computer Networks and Cloud Infrastructure,273,341
889,SG343,Quantity Surveying,261,302
890,SG346,Construction Project Management and Applied Technology,289,351
891,SG347,Architecture,309,357
892,SG441,Environmental Science,297,358
893,SG442,Occupational Safety and Health,289,330
894,SG443,Human Nutrition,357,419
895,SG444,Science (Undenominated),308,369
896,SG445,Pharmaceutical Science with Drug Development,347,369
897,SG446,Applied Archaeology,289,290
898,SG447,Health Science and Physical Activity,316,363
899,SG448,Forensic Investigation and Analysis,306,348
900,SG449,Medical Biotechnology,329,352
902,TL801,Animation Visual Effects and Motion Design,281,341
903,TL802,"TV, Radio and New Media",306,356
904,TL803,Music Technology,264,288
905,TL810,Computing with Software Development,309,341
906,TL811,Computing with Games Development,310,334
907,TL812,Computing with Digital Media,369,369
908,TL815,Computing (Degree Award options),308,378
909,TL823,Event Management (3 year programme),291,346
910,TL831,Business Studies (Major Specialism in: Acctng or Mktg or Mgmnt),307,372
912,TL844,Agricultural Engineering,311,368
913,TL845,Civil Engineering,300,364
915,TL848,Agricultural Science,331,362
916,TL851,Wildlife Biology (Degree Award options),310,362
917,TL855,Pharmaceutical Science (Degree Award options),342,386
918,TL858,Veterinary Bioscience,326,369
919,TL871,Health and Leisure (Degree Award options),303,346
920,TL872,Health and Leisure with Massage,288,357
921,TL873,Coaching and Sports Performance,282,336
922,TL880,Early Childhood Care and Education,307,347
923,TL881,Social Care,308,356
925,TL890,General Nursing and Mature Applicants,407,431
926,TL891,Mental Health Nursing and Mature Applicants,367*,379
928,WD001,Applied Computing (options),279,358
929,WD002,Science (options),302,377
930,WD005,Health Sciences (options),288,347
931,WD006,Exercise Sciences (options),282,337
932,WD007,Engineering (options),287,382
933,WD025,Construction Management and Engineering,269,327
934,WD027,Music,#290,317
935,WD048,Business (options),278,357
936,WD084,Accounting,307,403
937,WD091,Hospitality Management,210,281
938,WD116,General Nursing,413,430
939,WD117,Psychiatric Nursing,361,382
940,WD120,Intellectual Disability Nursing,338,359
941,WD134,International Business,289,350
942,WD137,Design (Visual Communications),253,373
943,WD140,Laws,290,352
944,WD144,Architecture,283,385
945,WD147,Pharmaceutical Science,298,363
946,WD148,Tourism Marketing,269,338
947,WD149,Early Childhood Studies,288,336
948,WD150,Criminal Justice Studies,271,311
949,WD152,Visual Art,253,323
950,WD161,Computer Forensics and Security,262,401
951,WD162,Quantity Surveying,260,320
952,WD163,Psychology,390,429
953,WD186,Sports Coaching and Performance,276,327
954,WD187,Social Science,271,321
955,WD191,Agricultural Science,378,421
956,WD192,Social Care Practice,279,323
957,WD193,Marketing and Digital Media,290,358
958,WD194,Culinary Arts,235,331
959,WD195,Architectural and Building Information Modelling Technology,266,305
960,WD200,Arts (options),221,296
961,WD210,Software Systems Development,271,329
962,WD211,Creative Computing,275,322
963,WD212,Recreation and Sport Management,274,311
964,WD230,Mechanical and Manufacturing Engineering,273,348
