Course_Code,Course_Title,finalPoints2021,EOS_2020,EOS_2019,Institution
DC175,Physics General Entry (options),400.0,402.0,,Dublin City University
DC180,Biological Sciences General Entry (Undenominated E,530.0,,,Dublin City University
DC181,Biotechnology,530.0,495.0,476.0,Dublin City University
DC190,Electronic and Computer Engineering (with choice of four majors),488.0,413.0,391.0,Dublin City University
DC193,Mechatronic Engineering,490.0,411.0,404.0,Dublin City University
DC194,Sustainable Systems and Energy,476.0,,,Dublin City University
DC195,Mechanical and Manufacturing Engineering,500.0,425.0,401.0,Dublin City University
DC197,Biomedical Engineering,510.0,423.0,402.0,Dublin City University
DC200,Common Entry into Engineering (Undenominated Entry),510.0,422.0,381.0,Dublin City University
DC201,Common Entry into Science (Undenominated Entry),,488.0,454.0,Dublin City University
DC202,Sport Science and Health,511.0,498.0,467.0,Dublin City University
DC203,Science Education,462.0,435.0,424.0,Dublin City University
DC204,Athletic Therapy and Training,558.0,519.0,484.0,Dublin City University
DC205,Physical Education with Biology,565.0,531.0,490.0,Dublin City University
DC206,Physical Education with Mathematics,521.0,499.0,443.0,Dublin City University
DC207,Psychology and Mathematics,521.0,,,Dublin City University
DC208,Psychology,565.0,521.0,509.0,Dublin City University
DC209,Health and Society,477.0,440.0,419.0,Dublin City University
DC210,Psychology and Disruptive Technologies,506.0,,,Dublin City University
DC215,General Nursing,456.0,433.0,414.0,Dublin City University
DC216,Mental Health Nursing,420.0,403.0,368.0,Dublin City University
DC217,Intellectual Disability Nursing,382.0,370.0,347.0,Dublin City University
DC218,Children`s and General Nursing (Integrated),521.0,498.0,467.0,Dublin City University
DC230,"Economics, Politics and Law",431.0,435.0,400.0,Dublin City University
DC231,International Relations,398.0,397.0,387.0,Dublin City University
DC232,Law and Society (BCL),469.0,466.0,453.0,Dublin City University
DC235,Education and Training - Daytime and Flexible Deli,302.0,309.0,307.0,Dublin City University
DC238,Social Sciences and Cultural Innovation,387.0,377.0,358.0,Dublin City University
DC239,"Gaeilge, Iriseoireacht agus na Meáin Dhigiteacha",,430.0,,Dublin City University
DC240,"Marketing, Innovation and Technology",499.0,474.0,451.0,Dublin City University
DC241,Digital Business and Innovation,509.0,,,Dublin City University
DC291,Arts (Joint Honours) - Media Studies,350.0,376.0,349.0,Dublin City University
DC292,Arts (Joint Honours) - Law,400.0,403.0,356.0,Dublin City University
DC293,Arts (Joint Honours) - International Languages,379.0,377.0,369.0,Dublin City University
DC294,Climate and Environmental Sustainability,475.0,,,Dublin City University
DC295,Arts (Joint Honours) - Politics,349.0,376.0,348.0,Dublin City University
DK810,Accounting and Finance,307.0,305.0,306.0,Dundalk Institute of Technology
DK816,Business Studies,301.0,300.0,300.0,Dundalk Institute of Technology
DK820,Computing in Games Development,309.0,311.0,307.0,Dundalk Institute of Technology
DK821,Computing in Software Development,316.0,302.0,301.0,Dundalk Institute of Technology
DK822,Augmented and Virtual Reality,320.0,304.0,,Dundalk Institute of Technology
DK830,Building Surveying,305.0,336.0,302.0,Dundalk Institute of Technology
DK831,Architectural Technology,314.0,389.0,301.0,Dundalk Institute of Technology
DK832,Construction Management,305.0,387.0,300.0,Dundalk Institute of Technology
DK843,Engineering (Common Entry),391.0,340.0,303.0,Dundalk Institute of Technology
DK844,Mechanical Engineering,336.0,305.0,,Dundalk Institute of Technology
DK845,Electrical & Electronic Engineering,331.0,304.0,,Dundalk Institute of Technology
DK846,Civil Engineering,371.0,361.0,,Dundalk Institute of Technology
DK850,International Tourism Management,303.0,317.0,,Dundalk Institute of Technology
DK860,Music,,503.0,,Dundalk Institute of Technology
DK861,Arts,302.0,302.0,300.0,Dundalk Institute of Technology
DK862,Social Care,319.0,301.0,300.0,Dundalk Institute of Technology
DK863,Creative Media,320.0,308.0,300.0,Dundalk Institute of Technology
DK864,Film and Television Production,308.0,300.0,300.0,Dundalk Institute of Technology
DK865,Audio and Music Production,352.0,301.0,301.0,Dundalk Institute of Technology
DK870,General Nursing,440.0,397.0,392.0,Dundalk Institute of Technology
DK872,Intellectual Disability Nursing,366.0,336.0,300.0,Dundalk Institute of Technology
DK874,Mental Health Nursing,398.0,356.0,356.0,Dundalk Institute of Technology
DK876,Early Childhood Studies,300.0,321.0,305.0,Dundalk Institute of Technology
DK877,Midwifery,477.0,440.0,,Dundalk Institute of Technology
DK880,Health and Physical Activity,301.0,328.0,300.0,Dundalk Institute of Technology
DK882,Agriculture (Award options),342.0,310.0,303.0,Dundalk Institute of Technology
DK883,Science (Award options),368.0,300.0,300.0,Dundalk Institute of Technology
DK884,Sustainable Agriculture,348.0,,,Dundalk Institute of Technology
DK885,Agri-Food Production,,,,Dundalk Institute of Technology
DK886,Biopharmaceutical Science,379.0,301.0,,Dundalk Institute of Technology
DK887,Environmental Science,377.0,330.0,,Dundalk Institute of Technology
DL821,"English, Media and Cultural Studies",,212.0,211.0,"Dun Laoghaire Institute of Art, Design & Technology"
DL822,Arts Management,254.0,235.0,209.0,"Dun Laoghaire Institute of Art, Design & Technology"
DL823,Business Management,220.0,237.0,260.0,"Dun Laoghaire Institute of Art, Design & Technology"
DL825,Applied Psychology,413.0,379.0,349.0,"Dun Laoghaire Institute of Art, Design & Technology"
DL826,Graphic Design,591.0,855.0,,"Dun Laoghaire Institute of Art, Design & Technology"
DL827,Art,574.0,572.0,,"Dun Laoghaire Institute of Art, Design & Technology"
DL828,"3D Design, Modelmaking and Digital Art",,538.0,,"Dun Laoghaire Institute of Art, Design & Technology"
DL829,Design for Stage and Screen (Costume Design),,593.0,,"Dun Laoghaire Institute of Art, Design & Technology"
DL830,Design for Stage and Screen (Character Makeup Design),,939.0,,"Dun Laoghaire Institute of Art, Design & Technology"
DL831,Design for Stage and Screen (Production Design),,781.0,,"Dun Laoghaire Institute of Art, Design & Technology"
DL832,Animation,989.0,920.0,,"Dun Laoghaire Institute of Art, Design & Technology"
DL833,Photography and Visual Media,671.0,667.0,,"Dun Laoghaire Institute of Art, Design & Technology"
DL834,Film and Television Production,,990.0,,"Dun Laoghaire Institute of Art, Design & Technology"
DL835,Creative Media Technologies,,,237.0,"Dun Laoghaire Institute of Art, Design & Technology"
DL836,Creative Computing,235.0,219.0,217.0,"Dun Laoghaire Institute of Art, Design & Technology"
DL837,New Media Studies,293.0,201.0,290.0,"Dun Laoghaire Institute of Art, Design & Technology"
DL838,Creative Music Production,713.0,754.0,,"Dun Laoghaire Institute of Art, Design & Technology"
DL839,Interaction and User Experience Design,757.0,683.0,,"Dun Laoghaire Institute of Art, Design & Technology"
DL840,Digital Marketing,210.0,228.0,,"Dun Laoghaire Institute of Art, Design & Technology"
DL841,English and Equality Studies,277.0,276.0,,"Dun Laoghaire Institute of Art, Design & Technology"
DL843,Film,874.0,,,"Dun Laoghaire Institute of Art, Design & Technology"
DL844,Television,566.0,,,"Dun Laoghaire Institute of Art, Design & Technology"
DL845,Design for Film (degree options),628.0,,,"Dun Laoghaire Institute of Art, Design & Technology"
DN100,Architecture,555.0,510.0,473.0,University College Dublin(NUI)
DN120,Landscape Architecture,435.0,407.0,353.0,University College Dublin(NUI)
DN130,City Planning and Environmental Policy,424.0,390.0,367.0,University College Dublin(NUI)
DN150,Engineering (Common Entry),565.0,520.0,511.0,University College Dublin(NUI)
DN200,Science (options),567.0,533.0,521.0,University College Dublin(NUI)
DN201,Computer Science (Common Entry),549.0,510.0,488.0,University College Dublin(NUI)
DN230,Actuarial and Financial Studies,613.0,601.0,577.0,University College Dublin(NUI)
DN240,Sustainability,510.0,440.0,,University College Dublin(NUI)
DN250,Agricultural Science (options),444.0,453.0,420.0,University College Dublin(NUI)
DN252,Dairy Business,,410.0,398.0,University College Dublin(NUI)
DN253,Agri - Environmental Sciences,,413.0,403.0,University College Dublin(NUI)
DN261,Food Science,531.0,476.0,434.0,University College Dublin(NUI)
DN262,Human Nutrition,566.0,531.0,493.0,University College Dublin(NUI)
DN271,Forestry,,311.0,303.0,University College Dublin(NUI)
DN272,"Horticulture, Landscape and Sportsturf Management",,282.0,252.0,University College Dublin(NUI)
DN300,Veterinary Medicine - Undergraduate Entry,601.0,589.0,,University College Dublin(NUI)
DN301,Veterinary Medicine - Graduate Entry (GAMSAT required),,,,University College Dublin(NUI)
DN310,Veterinary Nursing,509.0,466.0,441.0,University College Dublin(NUI)
DN400,Medicine - Undergraduate Entry (HPAT required),743.0,736.0,,University College Dublin(NUI)
DN401,Medicine - Graduate Entry (GAMSAT required),61.0,58.0,,University College Dublin(NUI)
DN410,Radiography,566.0,531.0,507.0,University College Dublin(NUI)
DN411,Radiography - Graduate Entry,,,,University College Dublin(NUI)
DN420,Physiotherapy,601.0,568.0,542.0,University College Dublin(NUI)
DN425,Health and Performance Science,543.0,507.0,488.0,University College Dublin(NUI)
DN430,Sport and Exercise Management,476.0,433.0,436.0,University College Dublin(NUI)
DN440,"Biomedical, Health and Life Sciences",613.0,589.0,,University College Dublin(NUI)
DN450,General Nursing,462.0,421.0,398.0,University College Dublin(NUI)
DN451,Children`s and General Nursing (Integrated),533.0,499.0,,University College Dublin(NUI)
DN452,Midwifery,509.0,473.0,409.0,University College Dublin(NUI)
DN453,Mental Health Nursing,442.0,393.0,379.0,University College Dublin(NUI)
DN520,Joint Honours (options),378.0,310.0,336.0,University College Dublin(NUI)
DN530,Humanities (options),388.0,326.0,348.0,University College Dublin(NUI)
DN541,Modern Languages (options),320.0,300.0,348.0,University College Dublin(NUI)
DN600,Law (options),567.0,543.0,,University College Dublin(NUI)
DN610,Business and Law,567.0,544.0,521.0,University College Dublin(NUI)
DN650,Commerce,555.0,521.0,,University College Dublin(NUI)
DN660,Commerce International (options),554.0,510.0,507.0,University College Dublin(NUI)
DN670,Economics and Finance,625.0,613.0,601.0,University College Dublin(NUI)
DN700,Social Sciences (options),474.0,418.0,388.0,University College Dublin(NUI)
DN710,Economics,532.0,498.0,476.0,University College Dublin(NUI)
DN720,Psychology,564.0,522.0,517.0,University College Dublin(NUI)
DN750,Social Policy and Sociology,421.0,377.0,330.0,University College Dublin(NUI)
DT001,Product Design,,,433.0,Technological University Dublin City Campus
DT028,Transport Operations and Technology,,,279.0,Technological University Dublin City Campus
DT035,Electrical Services and Energy Management,,,293.0,Technological University Dublin City Campus
DT066,Engineering (General Entry),,,400.0,Technological University Dublin City Campus
DT101,Architecture (test and interview),,,,Technological University Dublin City Campus
DT106,Planning and Environmental Management,,,312.0,Technological University Dublin City Campus
DT110,Property Economics (Valuation Surveying),,,367.0,Technological University Dublin City Campus
DT111,Quantity Surveying and Construction Economics,,,391.0,Technological University Dublin City Campus
DT112,Geographic Science,,,287.0,Technological University Dublin City Campus
DT117,Construction Management,,,356.0,Technological University Dublin City Campus
DT175,Architectural Technology,,,388.0,Technological University Dublin City Campus
DT201,Science (General Entry),,,464.0,Technological University Dublin City Campus
DT203,Analytical Chemistry (Environmental Forensic and Pharmaceutical),,,341.0,Technological University Dublin City Campus
DT204,Biomedical Science,,,501.0,Technological University Dublin City Campus
DT205,Mathematical Sciences,,,315.0,Technological University Dublin City Campus
DT206,Biomedical and Molecular Diagnostics,,,473.0,Technological University Dublin City Campus
DT211,Computer Science (Infrastructure),,,381.0,Technological University Dublin City Campus
DT220,Industrial Mathematics,,,300.0,Technological University Dublin City Campus
DT221,Physics with Energy and Environment,,,348.0,Technological University Dublin City Campus
DT222,Physics Technology,,,321.0,Technological University Dublin City Campus
DT223,Human Nutrition and Dietetics,,,553.0,Technological University Dublin City Campus
DT224,Optometry,,,487.0,Technological University Dublin City Campus
DT225,Public Health Nutrition,,,440.0,Technological University Dublin City Campus
DT227,Science with Nanotechnology,,,312.0,Technological University Dublin City Campus
DT228,Computer Science,,,451.0,Technological University Dublin City Campus
DT229,Clinical Measurement Science,,,491.0,Technological University Dublin City Campus
DT235,Physics with Medical Physics and Bioengineering,,,357.0,Technological University Dublin City Campus
DT282,Computer Science (International),,,377.0,Technological University Dublin City Campus
DT299,Chemical Sciences with Medicinal Chemistry,,,420.0,Technological University Dublin City Campus
DT302,Business Analytics,,,325.0,Technological University Dublin City Campus
DT304,E-Commerce in Retailing,,,341.0,Technological University Dublin City Campus
DT321,Business and Law,,,462.0,Technological University Dublin City Campus
DT341,Marketing,,,400.0,Technological University Dublin City Campus
DT343,Retail and Services Management,,,301.0,Technological University Dublin City Campus
DT354,Business Computing,,,322.0,Technological University Dublin City Campus
DT358,Logistics and Supply Chain Management,,,300.0,Technological University Dublin City Campus
DT365,Business and Management,,,440.0,Technological University Dublin City Campus
DT366,Accounting and Finance,,,432.0,Technological University Dublin City Campus
DT398,Human Resource Management,,,375.0,Technological University Dublin City Campus
DT399,Economics and Finance,,,437.0,Technological University Dublin City Campus
DT401,International Hospitality Management,,,300.0,Technological University Dublin City Campus
DT405,Culinary Science,,,308.0,Technological University Dublin City Campus
DT407,Culinary Arts,,,271.0,Technological University Dublin City Campus
DT412,Tourism Marketing,,,284.0,Technological University Dublin City Campus
DT413,Event Management,,,356.0,Technological University Dublin City Campus
DT416,Culinary Entrepreneurship,,,275.0,Technological University Dublin City Campus
DT420,Nutraceuticals in Health and Nutrition,,,392.0,Technological University Dublin City Campus
DT421,Food Innovation,,,321.0,Technological University Dublin City Campus
DT422,Pharmaceutical Healthcare,,,397.0,Technological University Dublin City Campus
DT491,Environmental Health,,,343.0,Technological University Dublin City Campus
DT501,Music,,,,Technological University Dublin City Campus
DT504,Film and Broadcasting,,,443.0,Technological University Dublin City Campus
DT506,Commercial Modern Music,,,,Technological University Dublin City Campus
DT508,Game Design,,,403.0,Technological University Dublin City Campus
DT517,Languages and English Studies,,,326.0,Technological University Dublin City Campus
DT518,Languages and International Tourism,,,307.0,Technological University Dublin City Campus
DT529,Drama (Performance),,,,Technological University Dublin City Campus
DT532,Law (LL.B.),,,422.0,Technological University Dublin City Campus
DT533,Contemporary Visual Culture,,,,Technological University Dublin City Campus
DT544,Interior Design,,,,Technological University Dublin City Campus
DT545,Design - Visual Communication,,,,Technological University Dublin City Campus
DT546,Fine Art,,,,Technological University Dublin City Campus
DT555,International Business and Languages,,,353.0,Technological University Dublin City Campus
DT559,Photography,,,,Technological University Dublin City Campus
DT571,Social Care,,,394.0,Technological University Dublin City Campus
DT572,Early Childhood Education,,,385.0,Technological University Dublin City Campus
DT582,Journalism,,,347.0,Technological University Dublin City Campus
DT596,Print Media Technology and Management,,,252.0,Technological University Dublin City Campus
DT597,Creative and Cultural Industries,,,280.0,Technological University Dublin City Campus
GA181,Accounting,303.0,309.0,303.0,Galway-Mayo Institute of Technology
GA182,Business,285.0,287.0,290.0,Galway-Mayo Institute of Technology
GA183,Business Information Systems,298.0,296.0,309.0,Galway-Mayo Institute of Technology
GA184,Marketing and Sales,300.0,307.0,307.0,Galway-Mayo Institute of Technology
GA185,Finance and Economics,318.0,293.0,307.0,Galway-Mayo Institute of Technology
GA186,Business with Entrepreneurship,287.0,280.0,297.0,Galway-Mayo Institute of Technology
GA187,Rural Enterprise and Agri-Business (Mountbellew Campus),291.0,281.0,280.0,Galway-Mayo Institute of Technology
GA281,Film and Documentary,301.0,304.0,287.0,Galway-Mayo Institute of Technology
GA282,Heritage Studies,252.0,220.0,238.0,Galway-Mayo Institute of Technology
GA283,Contemporary Art,790.0,679.0,260.0,Galway-Mayo Institute of Technology
GA284,Design,331.0,303.0,309.0,Galway-Mayo Institute of Technology
GA285,Education (Art  Design and Graphics),406.0,,,Galway-Mayo Institute of Technology
GA380,International Hotel Management,218.0,242.0,225.0,Galway-Mayo Institute of Technology
GA381,International Tourism Management,252.0,278.0,261.0,Galway-Mayo Institute of Technology
GA382,Culinary and Gastronomic Science,235.0,206.0,225.0,Galway-Mayo Institute of Technology
GA384,Event Management with Public Relations,230.0,212.0,209.0,Galway-Mayo Institute of Technology
GA385,Retail Management,,,219.0,Galway-Mayo Institute of Technology
GA480,Construction Management,302.0,260.0,260.0,Galway-Mayo Institute of Technology
GA482,Quantity Surveying and Construction Economics,304.0,288.0,280.0,Galway-Mayo Institute of Technology
GA483,Architectural Technology,273.0,265.0,251.0,Galway-Mayo Institute of Technology
GA484,Civil Engineering,377.0,290.0,270.0,Galway-Mayo Institute of Technology
GA580,Software and Electronic Engineering,300.0,300.0,301.0,Galway-Mayo Institute of Technology
GA680,Mechanical Engineering,400.0,330.0,336.0,Galway-Mayo Institute of Technology
GA681,Energy Engineering,312.0,293.0,281.0,Galway-Mayo Institute of Technology
GA682,Biomedical Engineering,331.0,313.0,331.0,Galway-Mayo Institute of Technology
GA683,Agricultural Engineering,304.0,309.0,301.0,Galway-Mayo Institute of Technology
GA684,Engineering (Common entry to Agri/Biomed/Energy/Mech Eng),413.0,340.0,346.0,Galway-Mayo Institute of Technology
GA685,Manufacturing Engineering Design,336.0,309.0,,Galway-Mayo Institute of Technology
GA780,Applied Freshwater and Marine Biology,366.0,327.0,300.0,Galway-Mayo Institute of Technology
GA781,Applied Biology and Biopharmaceutical Science,381.0,337.0,317.0,Galway-Mayo Institute of Technology
GA782,Chemical and Pharmaceutical Science,356.0,336.0,307.0,Galway-Mayo Institute of Technology
GA783,Physics and Instrumentation,301.0,363.0,373.0,Galway-Mayo Institute of Technology
GA784,Science (Undenominated),445.0,372.0,327.0,Galway-Mayo Institute of Technology
GA785,Medical Science,510.0,473.0,451.0,Galway-Mayo Institute of Technology
GA786,Forensic Science and Analysis,408.0,317.0,300.0,Galway-Mayo Institute of Technology
GA787,Computing in Software Development,310.0,270.0,275.0,Galway-Mayo Institute of Technology
GA788,Computing and Digital Media,270.0,282.0,270.0,Galway-Mayo Institute of Technology
GA789,Agriculture and Environmental Management,340.0,289.0,297.0,Galway-Mayo Institute of Technology
GA790,Sport and Exercise Science,366.0,356.0,350.0,Galway-Mayo Institute of Technology
GA791,Public Health Nutrition,368.0,368.0,364.0,Galway-Mayo Institute of Technology
GA880,General Nursing,440.0,422.0,,Galway-Mayo Institute of Technology
GA882,Psychiatric Nursing - Mayo Campus,369.0,367.0,346.0,Galway-Mayo Institute of Technology
GA885,Outdoor Education,269.0,252.0,210.0,Galway-Mayo Institute of Technology
GA887,History and Geography,201.0,244.0,228.0,Galway-Mayo Institute of Technology
GA889,Applied Social Care,265.0,266.0,260.0,Galway-Mayo Institute of Technology
GA890,Early Childhood Care and Education - Mayo Campus,227.0,270.0,278.0,Galway-Mayo Institute of Technology
GA891,Geography and Outdoor Education,261.0,244.0,,Galway-Mayo Institute of Technology
GA892,Community Development and Youth Work (Level 8),,,,Galway-Mayo Institute of Technology
GA980,Education (Design Graphics and Construction),410.0,377.0,376.0,Galway-Mayo Institute of Technology
GA981,Furniture Design and Manufacture - Letterfrack Campus,346.0,,271.0,Galway-Mayo Institute of Technology
GA982,Furniture Making and Architectural Woodworking,360.0,,270.0,Galway-Mayo Institute of Technology
GA983,Furniture and Digital Manufacturing,,,,Galway-Mayo Institute of Technology
GA984,"Furniture Design, Making and Technology - Common Entry",467.0,284.0,,Galway-Mayo Institute of Technology
GC200,Business,242.0,252.0,269.0,"Griffith College Dublin, Cork & Limerick"
GC201,Accounting and Finance,226.0,303.0,251.0,"Griffith College Dublin, Cork & Limerick"
GC230,Computing Science,289.0,325.0,228.0,"Griffith College Dublin, Cork & Limerick"
GC250,Communications and Media Production,,,,"Griffith College Dublin, Cork & Limerick"
GC300,Business Studies,264.0,390.0,251.0,"Griffith College Dublin, Cork & Limerick"
GC301,Accounting and Finance,,253.0,307.0,"Griffith College Dublin, Cork & Limerick"
GC302,Business - HRM,377.0,,269.0,"Griffith College Dublin, Cork & Limerick"
GC305,International Hospitality Management,,253.0,327.0,"Griffith College Dublin, Cork & Limerick"
GC307,Business (Marketing),270.0,,,"Griffith College Dublin, Cork & Limerick"
GC400,Business,228.0,248.0,246.0,"Griffith College Dublin, Cork & Limerick"
GC401,Accounting and Finance,242.0,202.0,181.0,"Griffith College Dublin, Cork & Limerick"
GC402,Business Studies (HRM),,218.0,217.0,"Griffith College Dublin, Cork & Limerick"
GC403,Law,242.0,228.0,225.0,"Griffith College Dublin, Cork & Limerick"
GC405,International Hospitality Management (Dublin),,,254.0,"Griffith College Dublin, Cork & Limerick"
GC407,Business (Marketing),264.0,218.0,246.0,"Griffith College Dublin, Cork & Limerick"
GC430,Computing Science,251.0,220.0,217.0,"Griffith College Dublin, Cork & Limerick"
GC450,Communications and Media Production,225.0,254.0,227.0,"Griffith College Dublin, Cork & Limerick"
GC462,Design Communication (portfolio),300.0,,,"Griffith College Dublin, Cork & Limerick"
GC489,Interior Architecture (Dublin),274.0,254.0,,"Griffith College Dublin, Cork & Limerick"
GC494,Fashion Design (Dublin),351.0,217.0,,"Griffith College Dublin, Cork & Limerick"
GY101,Arts (Joint-Honours),326.0,300.0,300.0,"National University Of Ireland, Galway"
GY104,BSc (Psychology),555.0,519.0,507.0,"National University Of Ireland, Galway"
GY105,Arts (History),357.0,301.0,318.0,"National University Of Ireland, Galway"
GY107,Na Dána (Gaeilge agus Léann an Aistriúcháin),,409.0,330.0,"National University Of Ireland, Galway"
GY109,Arts (Mathematics and Education),413.0,403.0,411.0,"National University Of Ireland, Galway"
GY110,Arts (Children and Youth Studies - options),387.0,357.0,382.0,"National University Of Ireland, Galway"
GY111,Arts with Creative Writing,420.0,330.0,402.0,"National University Of Ireland, Galway"
GY112,Arts with Film Studies,,321.0,338.0,"National University Of Ireland, Galway"
GY113,Arts with Human Rights,413.0,368.0,338.0,"National University Of Ireland, Galway"
GY115,Arts with Performing Arts Studies,300.0,387.0,328.0,"National University Of Ireland, Galway"
GY118,Arts (Drama  Theatre and Performance Studies),430.0,451.0,410.0,"National University Of Ireland, Galway"
GY119,Journalism,473.0,400.0,410.0,"National University Of Ireland, Galway"
