,Course_Code,Course_Title,finalPoints2021,EOS_2020,EOS_2019
517,DL845,Design for Film (degree options),320.0,,
518,DN100,Architecture,567.0,,
519,DN120,Landscape Architecture,567.0,,
520,DN130,City Planning and Environmental Policy,555.0,,
521,DN150,Engineering (Common Entry),554.0,,
522,DN200,Science (options),625.0,,
523,DN201,Computer Science (Common Entry),474.0,,
524,DN230,Actuarial and Financial Studies,532.0,,
525,DN240,Sustainability,564.0,,
526,DN250,Agricultural Science (options),421.0,,
527,DN252,Dairy Business,307.0,,
528,DN253,Agri - Environmental Sciences,301.0,,
529,DN261,Food Science,309.0,,
530,DN262,Human Nutrition,316.0,,
531,DN271,Forestry,320.0,,
532,DN272,"Horticulture, Landscape and Sportsturf Management",305.0,,
533,DN300,Veterinary Medicine - Undergraduate Entry,314.0,,
534,DN301,Veterinary Medicine - Graduate Entry (GAMSAT required),305.0,,
535,DN310,Veterinary Nursing,391.0,,
536,DN400,Medicine - Undergraduate Entry (HPAT required),336.0,,
537,DN401,Medicine - Graduate Entry (GAMSAT required),331.0,,
538,DN410,Radiography,371.0,,
539,DN411,Radiography - Graduate Entry,303.0,,
540,DN420,Physiotherapy,302.0,,
541,DN425,Health and Performance Science,319.0,,
542,DN430,Sport and Exercise Management,320.0,,
543,DN440,"Biomedical, Health and Life Sciences",308.0,,
544,DN450,General Nursing,352.0,,
545,DN451,Children`s and General Nursing (Integrated),440.0,,
546,DN452,Midwifery,366.0,,
547,DN453,Mental Health Nursing,398.0,,
548,DN520,Joint Honours (options),300.0,,
549,DN530,Humanities (options),477.0,,
550,DN541,Modern Languages (options),301.0,,
551,DN600,Law (options),342.0,,
552,DN610,Business and Law,368.0,,
553,DN650,Commerce,348.0,,
554,DN660,Commerce International (options),,,
555,DN670,Economics and Finance,379.0,,
556,DN700,Social Sciences (options),377.0,,
557,DN710,Economics,303.0,,
558,DN720,Psychology,285.0,,
559,DN750,Social Policy and Sociology,298.0,,
560,DS602,Computing and Multimedia (Level 6 - Higher Certificat,300.0,,
561,DS603,Computing and Multimedia (Level 6 - Certificat,318.0,,
562,DS701,Business,287.0,,
563,DS702,Computing and Multimedia (Level 7),291.0,,
564,DT001,Product Design,301.0,,
565,DT028,Transport Operations and Technology,252.0,,
566,DT035,Electrical Services and Energy Management,790.0,,
567,DT066,Engineering (General Entry),331.0,,
568,DT101,Architecture (test and interview),406.0,,
569,DT106,Planning and Environmental Management,218.0,,
570,DT110,Property Economics (Valuation Surveying),252.0,,
571,DT111,Quantity Surveying and Construction Economics,235.0,,
572,DT112,Geographic Science,230.0,,
573,DT117,Construction Management,302.0,,
574,DT175,Architectural Technology,304.0,,
575,DT201,Science (General Entry),273.0,,
576,DT203,Analytical Chemistry (Environmental Forensic and Pharmaceutical),377.0,,
577,DT204,Biomedical Science,300.0,,
578,DT205,Mathematical Sciences,400.0,,
579,DT206,Biomedical and Molecular Diagnostics,312.0,,
580,DT211,Computer Science (Infrastructure),331.0,,
581,DT220,Industrial Mathematics,304.0,,
582,DT221,Physics with Energy and Environment,413.0,,
583,DT222,Physics Technology,336.0,,
584,DT223,Human Nutrition and Dietetics,366.0,,
585,DT224,Optometry,381.0,,
586,DT225,Public Health Nutrition,356.0,,
587,DT227,Science with Nanotechnology,301.0,,
588,DT228,Computer Science,445.0,,
589,DT229,Clinical Measurement Science,510.0,,
590,DT235,Physics with Medical Physics and Bioengineering,408.0,,
591,DT282,Computer Science (International),310.0,,
592,DT299,Chemical Sciences with Medicinal Chemistry,270.0,,
593,DT302,Business Analytics,340.0,,
594,DT304,E-Commerce in Retailing,366.0,,
595,DT321,Business and Law,368.0,,
596,DT341,Marketing,440.0,,
597,DT343,Retail and Services Management,369.0,,
598,DT354,Business Computing,269.0,,
599,DT358,Logistics and Supply Chain Management,201.0,,
600,DT365,Business and Management,265.0,,
601,DT366,Accounting and Finance,227.0,,
602,DT398,Human Resource Management,261.0,,
603,DT399,Economics and Finance,,,
604,DT401,International Hospitality Management,410.0,,
605,DT405,Culinary Science,346.0,,
606,DT407,Culinary Arts,360.0,,
607,DT412,Tourism Marketing,,,
608,DT413,Event Management,467.0,,
609,DT416,Culinary Entrepreneurship,326.0,,
610,DT420,Nutraceuticals in Health and Nutrition,555.0,,
611,DT421,Food Innovation,357.0,,
612,DT422,Pharmaceutical Healthcare,413.0,,
613,DT491,Environmental Health,387.0,,
614,DT501,Music,420.0,,
615,DT504,Film and Broadcasting,413.0,,
616,DT506,Commercial Modern Music,300.0,,
617,DT508,Game Design,430.0,,
618,DT517,Languages and English Studies,473.0,,
619,DT518,Languages and International Tourism,410.0,,
620,DT529,Drama (Performance),419.0,,
621,DT532,Law (LL.B.),403.0,,
622,DT544,Interior Design,421.0,,
623,DT545,Design - Visual Communication,346.0,,
624,DT546,Fine Art,465.0,,
625,DT555,International Business and Languages,462.0,,
626,DT559,Photography,451.0,,
627,DT571,Social Care,454.0,,
628,DT572,Early Childhood Education,425.0,,
629,DT582,Journalism,442.0,,
630,DT596,Print Media Technology and Management,526.0,,
631,DT597,Creative and Cultural Industries,476.0,,
632,GA160,Business,520.0,,
633,GA170,Business,518.0,,
634,GA171,Business Information Systems,506.0,,
635,GA172,Rural Enterprise and Agri-Business,509.0,,
636,GA174,Marketing and Sales,543.0,,
637,GA175,Finance,508.0,,
638,GA176,Business with Entrepreneurship,551.0,,
639,GA181,Accounting,510.0,,
640,GA182,Business,542.0,,
641,GA183,Business Information Systems,565.0,,
642,GA184,Marketing and Sales,506.0,,
643,GA185,Finance and Economics,548.0,,
644,GA186,Business with Entrepreneurship,503.0,,
645,GA187,Rural Enterprise and Agri-Business,709.0,,
646,GA272,Heritage Studies,488.0,,
647,GA273,Contemporary Art,613.0,,
648,GA274,Design,495.0,,
649,GA281,Film and Documentary,430.0,,
650,GA282,Heritage Studies,509.0,,
651,GA283,Contemporary Art (portfolio),467.0,,
652,GA284,Design,412.0,,
653,GA285,Education (Art  Design and Graphics),422.0,,
654,GA360,Business in Tourism,555.0,,
655,GA361,Culinary Arts,543.0,,
656,GA362,Hotel and Hospitality Operations,465.0,,
657,GA364,Heritage Studies,532.0,,
658,GA370,Hotel and Catering Management,485.0,,
659,GA376,Event Management with Public Relations,495.0,,
660,GA377,International Tourism Management,520.0,,
661,GA378,Culinary and Gastronomic Science,521.0,,
662,GA380,International Hotel Management,541.0,,
663,GA381,International Tourism Management,555.0,,
664,GA382,Culinary and Gastronomic Science,554.0,,
665,GA384,Event Management with Public Relations,431.0,,
666,GA385,Retail Management,509.0,,
667,GA470,Construction Management,433.0,,
668,GA471,Quantity Surveying and Construction Economics,737.0,,
669,GA472,Architectural Technology,601.0,,
670,GA473,Civil Engineering,578.0,,
671,GA480,Construction Management,526.0,,
672,GA482,Quantity Surveying and Construction Economics,496.0,,
673,GA483,Architectural Technology,441.0,,
674,GA484,Civil Engineering,509.0,,
675,GA570,Software and Electronic Engineering,312.0,,
676,GA580,Software and Electronic Engineering,288.0,,
677,GA670,Mechanical Engineering,261.0,,
678,GA673,Energy Engineering,290.0,,
679,GA674,Biomedical Engineering,290.0,,
680,GA675,Agricultural Engineering,301.0,,
681,GA676,Engineering (Common Entry to Manu/Agri/Biomed/Energy/Mech Eng),283.0,,
682,GA677,Manufacturing Engineering Design,304.0,,
683,GA680,Mechanical Engineering,262.0,,
684,GA681,Energy Engineering,234.0,,
685,GA682,Biomedical Engineering,300.0,,
686,GA683,Agricultural Engineering,321.0,,
687,GA684,Engineering (Common entry to Agri/Biomed/Energy/Mech Eng),320.0,,
688,GA685,Manufacturing Engineering Design,316.0,,
689,GA770,Applied Freshwater and Marine Biology,302.0,,
690,GA771,Applied Biology and Biopharmaceutical Science,300.0,,
691,GA772,Chemical and Pharmaceutical Science,429.0,,
692,GA773,Physics and Instrumentation,367.0,,
693,GA774,Science (Undenominated),357.0,,
694,GA775,Computing in Software Development,288.0,,
695,GA776,Computing and Digital Media,279.0,,
696,GA777,Agriculture and Environmental Management,209.0,,
697,GA780,Applied Freshwater and Marine Biology,280.0,,
698,GA781,Applied Biology and Biopharmaceutical Science,589.0,,
699,GA782,Chemical and Pharmaceutical Science,522.0,,
700,GA783,Physics and Instrumentation,485.0,,
701,GA784,Science (Undenominated),409.0,,
702,GA785,Medical Science,590.0,,
703,GA786,Forensic Science and Analysis,434.0,,
704,GA787,Computing in Software Development,370.0,,
705,GA788,Computing and Digital Media,407.0,,
706,GA789,Agriculture and Environmental Management (Mountbellew Campus),387.0,,
707,GA790,Sport and Exercise Science,509.0,,
708,GA791,Public Health Nutrition,476.0,,
709,GA862,History & Geography,292.0,,
710,GA864,Early Childhood Education and Care,290.0,,
711,GA870,Outdoor Education and Leisure,325.0,,
712,GA871,Early Childhood Education and Care,794.0,,
713,GA872,Culture and Environment,914.0,,
714,GA879,Applied Social Care,993.0,,
715,GA880,General Nursing,263.0,,
716,GA882,Psychiatric Nursing - Mayo Campus,331.0,,
717,GA885,Outdoor Education,300.0,,
718,GA887,History and Geography - Mayo Campus,298.0,,
719,GA889,Applied Social Care - Mayo Campus,255.0,,
720,GA890,Early Childhood Care and Education - Mayo Campus,280.0,,
721,GA891,Geography and Outdoor Education,226.0,,
722,GA892,Community Development and Youth Work (Level 8),260.0,,
723,GA974,"Furniture Design, Making and Technology - Common Entry",317.0,,
724,GA980,Education (Design Graphics and Construction) - Letterfrack Campus,326.0,,
725,GA981,Furniture Design and Manufacture,308.0,,
726,GA982,Furniture Making and Architectural Woodworking,278.0,,
727,GA983,Furniture and Digital Manufacturing,300.0,,
728,GA984,Furniture Design  Making and Technology - Common E,264.0,,
729,GB001,Business,391.0,,
730,GC200,Business Studies (Cork),498.0,,
731,GC201,Accounting and Finance,252.0,,
732,GC230,Computing Science,347.0,,
733,GC250,Communications and Media Production,369.0,,
734,GC300,Business Studies (Limerick),261.0,,
735,GC301,Accounting and Finance,374.0,,
736,GC302,Business Studies - HRM,264.0,,
737,GC305,International Hospitality Management,279.0,,
738,GC306,International Hospitality Management,262.0,,
739,GC307,Business (Marketing),262.0,,
740,GC335,Computing,381.0,,
741,GC400,Business Studies,308.0,,
742,GC401,Accounting and Finance (Dublin),368.0,,
743,GC402,"Business Studies (HRM, Dublin)",429.0,,
744,GC403,Law,310.0,,
745,GC405,International Hospitality Management (Dublin),377.0,,
746,GC407,"Business Studies (Marketing, Dublin)",319.0,,
747,GC410,Marketing,309.0,,
748,GC411,Business,357.0,,
749,GC430,Computing Science (Dublin),298.0,,
750,GC435,Computing,317.0,,
751,GC450,Journalism and Visual Media (Dublin),276.0,,
752,GC460,Music Production for Games (portfolio),228.0,,
753,GC462,Design Communication (portfolio),279.0,,
754,GC465,Communications,260.0,,
755,GC466,Film and TV Production,256.0,,
756,GC470,Photographic Media,289.0,,
757,GC475,Photography,841.0,,
758,GC489,Interior Architecture (portfolio),279.0,,
759,GC490,Interior Design,807.0,,
760,GC494,Fashion Design (portfolio),309.0,,
761,GC495,Fashion,360.0,,
762,GY101,Arts (Joint-Honours),451.0,,
763,GY104,Arts (Psychology),474.0,,
764,GY105,Arts (History),329.0,,
765,GY107,Na Dána (Gaeilge agus Léann an Aistriúcháin),420.0,,
766,GY109,Arts (Mathematics and Education),530.0,,
767,GY110,Arts with Children`s Studies,530.0,,
768,GY111,Arts with Creative Writing,432.0,,
769,GY112,Arts with Film Studies,409.0,,
770,GY113,Arts with Human Rights,429.0,,
771,GY115,Arts with Performing Arts Studies,451.0,,
772,GY118,Arts (Drama  Theatre and Performance Studies),555.0,,
773,GY119,Arts (Journalism),468.0,,
774,GY120,"Arts (Child, Youth and Family: Policy and Practice)",410.0,,
775,GY121,Arts (Children's Studies),430.0,,
776,GY122,Na DÃ¡na (CumarsÃ¡id agus Gaeilg,464.0,,
777,GY123,Applied Social Sciences,401.0,,
778,GY124,Arts (Arts with Data Science),567.0,,
779,GY125,Arts (Digital Arts and Technology),446.0,,
780,GY126,Arts (English and Media Studies),498.0,,
781,GY127,Arts (Film and Digital Media),544.0,,
782,GY128,Arts (Global Languages),506.0,,
783,GY129,Arts (Global Experienc,521.0,,
784,GY130,Arts (Music),367.0,,
785,GY131,Arts (History and Globalisation Studies),475.0,,
786,GY132,"Government (Politics, Economics and Law)",425.0,,
787,GY133,Education (Computer Science and Mathematical Studi,454.0,,
788,GY134,Geography and Geosystems,465.0,,
789,GY135,Arts (Global Media),520.0,,
790,GY136,Na DÃ¡na (LÃ©ann Teanga - options),613.0,,
791,GY201,Commerce,57.0,,
792,GY202,Commerce (International) with French,534.0,,
793,GY203,Commerce (International) with German,429.0,,
794,GY204,Commerce (International) with Spanish,441.0,,
795,GY206,Business Information Systems (Work Placement & Optional Int`l Study),476.0,,
796,GY207,Commerce (Accounting) including optional Global Ex,498.0,,
797,GY208,Commerce (Gaeilg,445.0,,
798,GY209,Commerce (Global Experience),402.0,,
799,GY250,Law and Business,382.0,,
800,GY251,Law (BCL),498.0,,
801,GY252,Law (BCL) and Human Rights,455.0,,
802,GY253,Law and Taxation,489.0,,
803,GY254,"Law (BCL), Criminology and Criminal Justice",487.0,,
804,GY261,Business Studies in International Hotel Management,466.0,,
805,GY262,"Commerce (International Hotel Management, Shannon)",443.0,,
806,GY301,Science,508.0,,
807,GY303,Biomedical Science,294.0,,
808,GY304,Biotechnology,,,
809,GY308,Environmental Science,564.0,,
810,GY309,Financial Mathematics and Economics,,,
811,GY310,Marine Science,381.0,,
812,GY313,Environmental Health and Safety,336.0,,
813,GY314,Earth and Ocean Sciences,,,
814,GY318,Biopharmaceutical Chemistry,554.0,,
815,GY319,Mathematical Science,390.0,,
816,GY320,Physics (Degree options: Applied Astrophysics Biom,324.0,,
817,GY321,Genetics and Genomics,,,
818,GY322,Agricultural Sciences,400.0,,
819,GY350,Computer Science and Information Technology,489.0,,
820,GY401,Engineering (Undenominated),451.0,,
821,GY402,Civil Engineering,422.0,,
822,GY405,Mechanical Engineering,521.0,,
823,GY406,Electronic and Computer Engineering,444.0,,
824,GY408,Biomedical Engineering,543.0,,
825,GY410,Project and Construction Management,529.0,,
826,GY413,Energy Systems Engineering,510.0,,
827,GY414,Electrical and Electronic Engineering,443.0,,
828,GY501,Medicine (five year/six year course  HPAT required,351.0,,
829,GY502,Occupational Therapy,326.0,,
830,GY503,Speech and Language Therapy,362.0,,
831,GY504,Podiatric Medicine,370.0,,
832,GY515,General Nursing (Galway and Portiuncula),476.0,,
833,GY516,Mental Health Nursing,424.0,,
834,GY517,Midwifery,441.0,,
835,ID001,Accounting and Finance,423.0,,
836,ID002,Business Studies,378.0,,
837,LC110,Art and Design (Common Entry  portfolio),507.0,,
838,LC114,Fashion and Textiles for Product and Costume (portfolio),465.0,,
839,LC115,Art and Design Teacher Education (portfolio),381.0,,
840,LC220,Digital Marketing,400.0,,
841,LC221,Accounting and Finance,520.0,,
842,LC222,Marketing and Management,,,
843,LC223,Law and Taxation,,,
844,LC224,Accounting and Finance,,,
845,LC225,Marketing and Management,533.0,,
846,LC226,Enterprise and Innovation,452.0,,
847,LC228,Sports Development and Coaching,457.0,,
848,LC230,Business with Computing,347.0,,
849,LC233,Software Development,419.0,,
850,LC234,Interactive Digital Media,432.0,,
851,LC235,Internet Systems Development,358.0,,
852,LC236,Internet Systems Development,262.0,,
853,LC239,Computer Networks and Systems Management,279.0,,
854,LC241,Construction Management,304.0,,
855,LC242,Property Valuation and Management,288.0,,
856,LC243,Quantity Surveying,298.0,,
857,LC248,Built Environment (Common Entry),298.0,,
858,LC251,Civil Engineering,341.0,,
859,LC252,Civil Engineering Management,287.0,,
860,LC257,Interior Design,309.0,,
861,LC260,Applied Biology,501.0,,
862,LC263,Clinical Technology,332.0,,
863,LC265,Forensic and Pharmaceutical Sciences,316.0,,
864,LC266,Drug and Medicinal Product Analysis,319.0,,
865,LC267,Forensic and Pharmaceutical Sciences,298.0,,
866,LC268,Medical Technology,308.0,,
867,LC270,Music Technology and Production,310.0,,
868,LC271,Electrical Engineering,336.0,,
869,LC275,Electrical Engineering,327.0,,
870,LC276,Creative Broadcast and Film Production,291.0,,
871,LC277,Industrial Automation and Robotic Systems,373.0,,
872,LC278,Renewable and Electrical Energy Engineering,418.0,,
873,LC279,Electronic Engineering,300.0,,
874,LC281,Automobile Technology,412.0,,
875,LC283,Precision Engineering,313.0,,
876,LC284,"Agricultural Mechanisation at Salesian Agricultural College,Pallaskenry",403.0,,
877,LC285,Mechanical Engineering,359.0,,
878,LC286,Road Transport Technology and Management,,,
879,LC288,Mechanical Engineering,384.0,,
880,LC289,Precision Engineering,307.0,,
881,LC290,Community Sport Development,376.0,,
882,LC292,Social Care Work,358.0,,
883,LC293,Business Studies with Travel and Tourism Managemen,357.0,,
884,LC294,Business Studies with Event Management,326.0,,
885,LC295,Business Studies with Sports Management,308.0,,
886,LC297,Community Development,315.0,,
887,LC320,Business,310.0,,
888,LC330,Business with Computing,718.0,,
889,LC336,Computing,322.0,,
890,LC340,Interior Design,308.0,,
891,LC362,Biotechnology and Biopharmaceutical Sciences,322.0,,
892,LC371,Creative Broadcast and Film Production,307.0,,
893,LC372,Music Technology and Production,293.0,,
894,LC374,Renewable and Electrical Energy Engineering,306.0,,
895,LC375,Industrial Automation & Robotic Systems,,,
896,LC376,Electronic Engineering,301.0,,
897,LC380,Automotive Engineering and Transport Management,361.0,,
898,LC392,Beauty and Spa Management,305.0,,
899,LC393,Early Childhood Education & Care,307.0,,
900,LC398,Culinary Arts,309.0,,
901,LC399,Hospitality Supervision,316.0,,
902,LC401,Early Childhood Education and Care,317.0,,
903,LC402,Social Care Work,303.0,,
904,LC408,Environmental Science and Climate,314.0,,
905,LC411,Marketing and Management (Thurles),308.0,,
906,LC414,Data Analytics and Cyber Security,341.0,,
907,LC415,Business,309.0,,
908,LC416,Business,301.0,,
909,LC418,Computing - Games Design and Development,,,
910,LC422,Applied Strength and Conditioning,463.0,,
911,LC423,Sports Strength and Conditioning,419.0,,
912,LC425,Environmental Science,261.0,,
913,LC428,Environmental Science and Agriculture,279.0,,
914,LC432,Early Childhood Education and Care,271.0,,
915,LC434,Environmental Science and Agriculture,270.0,,
916,LC502,Game Art and Design (portfolio),270.0,,
917,LC504,Creative Media and Design,262.0,,
918,LC517,Creative Media and Design,321.0,,
919,LC518,Digital Animation Production (portfolio),279.0,,
920,LC602,Social Care Work,308.0,,
921,LC603,Early Childhood Education and Care,225.0,,
922,LC605,Business,446.0,,
923,LC612,Social Care Work,415.0,,
924,LC613,Early Childhood Education and Care,390.0,,
925,LM002,Arts,267.0,,
926,LM019,Social Sciences,252.0,,
927,LM020,Law and Accounting,280.0,,
928,LM026,Performing Arts (audition required),309.0,,
929,LM028,Criminal Justice,288.0,,
930,LM029,Law Plus,280.0,,
931,LM038,Psychology and Sociology,243.0,,
932,LM039,Journalism and Digital Communication,270.0,,
933,LM040,European Studies,226.0,,
934,LM044,Applied Languages,456.0,,
935,LM050,Business Studies,261.0,,
936,LM056,International Business,276.0,,
937,LM058,Financial Mathematics,377.0,,
938,LM063,Technology Management,271.0,,
939,LM066,Environmental Science,279.0,,
940,LM068,Food Science and Health,237.0,,
941,LM076,Product Design and Technology (portfolio required),279.0,,
942,LM077,Aeronautical Engineering,201.0,,
943,LM082,Construction Management and Engineering,260.0,,
944,LM089,Sport and Exercise Sciences,270.0,,
945,LM090,Physical Education with concurrent Teacher Educati,262.0,,
946,LM091,Languages with concurrent Teacher Education,230.0,,
947,LM092,Science with Teacher Ed (Biology with Physics/Chemistry/Ag Science),266.0,,
948,LM093,Equine Science,261.0,,
949,LM094,Materials and Architectural Technology with concurrent Teacher Education,,,
950,LM095,Materials and Engineering Technology with concurrent Teacher Education,,,
951,LM096,Science with Teacher Ed (Physical Sciences with Ch,,,
952,LM097,Mathematics and Computer Science with concurrent Teacher Education,,,
953,LM099,Architecture (portfolio requirement suspended),,,
954,LM100,Physiotherapy,,,
955,LM101,Medicine  - Graduate Entry (GAMSAT required),,,
956,LM102,Psychology,,,
957,LM103,Paramedic Studies (B/C1/C1 Provisional Drivers Licenc,,,
958,LM105,Exercise and Health Fitness Management,,,
959,LM115,Chemical and Biochemical Engineering,,,
960,LM116,Engineering (Biomedical/Civil/Design and Manufactu,,,
961,LM118,Electronic and Computer Engineering,,,
962,LM121,Computer Science (Computer Systems/Games Dev/Mobile Comm Security),,,
963,LM122,Creative Media and Interaction Design (Digital Design/Music Media Tech),,,
964,LM123,Biological & Chemical Sciences (Biosci/Envir Sci/Ind Bio/IndPharma Chem),,,
965,LM124,Mathematics (Math Science/Maths and Physics/Economics and Maths),,,
966,LM125,Physics (Applied Physics or Mathematics & Physics),,,
967,LM150,General Nursing,,,
968,LM152,Mental Health Nursing,,,
969,LM154,Intellectual Disability Nursing,,,
970,LM156,Midwifery,,,
971,LM180,Equine Science,,,
972,LY107,Business - Common Entry,,,
973,LY108,Business - Accounting,,,
974,LY118,Business,,,
975,LY128,Marketing with Online Technologies,,,
976,LY206,Sports Studies,,,
977,LY207,Law with Criminal Justice,,,
978,LY208,Law,,,
979,LY218,Business - with Spanish/Irish options,,,
980,LY228,Sports and Exercise - Common Entry,,,
981,LY317,Culinary Arts,,,
982,LY327,Hospitality And Tourism - Common Entry,,,
983,LY408,Design - Common Entry,,,
984,LY427,Digital Film and Video,,,
985,LY437,Animation,,,
986,LY447,Fashion with Promotion,,,
987,LY457,Graphic and Digital Design,,,
988,LY507,Quantity Surveying,,,
989,LY508,Fire Safety Engineering,,,
990,LY518,Quantity Surveying,,,
991,LY527,Civil Engineering,,,
992,LY528,Construction Management,,,
993,LY538,Architectural Technology,,,
994,LY607,Electronic Engineering,,,
995,LY608,Mechanical Engineering,,,
996,LY617,Mechanical Engineering,,,
997,LY618,Electronics and Embedded Systems,,,
998,LY707,Computer Games Development,,,
999,LY708,Applied Computing,,,
1000,LY717,Computing,,,
1001,LY737,Computer Security and Digital Forensics,,,
1002,LY748,Computer Science,,,
1003,LY806,Pharmacy Technician,,,
1004,LY816,Dental Nursing,,,
1005,LY817,Bioscience,,,
1006,LY818,Science - Common Entry,,,
1007,LY826,Health Science with Physiotherapy Studies,,,
1008,LY828,Agriculture - Common Entry,,,
1009,LY836,Health Science with Occupational Therapy Studies,,,
1010,LY837,Food Science and Nutrition,,,
1011,LY846,Health Science with Dietetics Studies,,,
1012,LY847,Veterinary Nursing,,,
1013,LY867,Pharmaceutical & Medicinal Science,,,
1014,LY877,Agriculture,,,
1015,LY906,"Early Childhood Care, Health and Education",,,
1016,LY908,General Nursing,,,
1017,LY916,Health and Social Care,,,
1018,LY918,Psychiatric Nursing,,,
1019,LY928,Intellectual Disability Nursing,,,
1020,LY968,"Early Childhood Care, Health and Education",,,
1021,LY978,Health & Social Care - Common Entry,,,
1022,MH001,Education - Primary Teaching (Froebel),,,
1023,MH002,Education - Primary Teaching - Gaeltacht Applicant,,,
1024,MH003,Early Childhood - Teaching and Learning (full-time,,,
1025,MH101,Arts,,,
1026,MH103,Music,,,
1027,MH106,Psychology - 3 years,,,
1028,MH107,Social Science,,,
1029,MH109,Media Studies,,,
1030,MH116,Community and Youth Work (Full-Tim,,,
1031,MH201,Science,,,
1032,MH202,Biotechnology,,,
1033,MH203,Biological and Geographical Sciences,,,
1034,MH204,Physics with Astrophysics,,,
1035,MH206,Theoretical Physics and Mathematics,,,
1036,MH207,Data Science,,,
1037,MH208,Biological and Biomedical Sciences,,,
1038,MH209,Psychology (through Science) - 4 years,,,
1039,MH210,Pharmaceutical and Biomedical Chemistry,,,
1040,MH212,Science|Maths and Computer Science|Mathematics (wi,,,
1041,MH304,Engineering (Computer/Electronic/Communications),,,
1042,MH305,Product Design,,,
1043,MH306,Robotics and Intelligent Devices,,,
1044,MH401,Finance (options),,,
1045,MH402,Quantitative Finance,,,
1046,MH403,Accounting and Finance,,,
1047,MH404,Business (options),,,
1048,MH405,Equine Business,,,
1049,MH407,Business and Accounting,,,
1050,MH411,Entrepreneurship,,,
1051,MH501,LLB Law - four year Single Major Law programme,,,
1052,MH502,Law (options),,,
1053,MH601,Computer Science through Arts (options),,,
1054,MH602,Computer Science through Science (options),,,
1055,MH603,Computational Thinking,,,
1056,MH801,Early Childhood - Teaching and Learning (part-time,,,
1057,MH802,Community and Youth Work (part-time  in servic,,,
1058,MH803,"Local Studies/Community Studies (part-time, evening) - Mature Students",,,
1059,MI001,Contemporary & Applied Theatre Studies,,,
